Step [0/60000] | Loss: 10.0825 | Confidence: 20.1625% | Dead ReLUs: 67/128
Step [5000/60000] | Loss: 3.57341 | Confidence: 60.0203% | Dead ReLUs: 43/128
Step [10000/60000] | Loss: 0.0189199 | Confidence: 99.3713% | Dead ReLUs: 40/128
Step [15000/60000] | Loss: 2.47002 | Confidence: 61.0179% | Dead ReLUs: 39/128
Step [20000/60000] | Loss: 0.0344131 | Confidence: 99.3141% | Dead ReLUs: 36/128
Step [25000/60000] | Loss: 3.62127 | Confidence: 31.6675% | Dead ReLUs: 28/128
Step [30000/60000] | Loss: 0.0340112 | Confidence: 98.8727% | Dead ReLUs: 46/128
Step [35000/60000] | Loss: 0.00686774 | Confidence: 99.3156% | Dead ReLUs: 41/128
Step [40000/60000] | Loss: 0.00978659 | Confidence: 99.8603% | Dead ReLUs: 49/128
Step [45000/60000] | Loss: 0.21941 | Confidence: 92.9474% | Dead ReLUs: 34/128
Step [50000/60000] | Loss: 0.282794 | Confidence: 91.0042% | Dead ReLUs: 31/128
Step [55000/60000] | Loss: 0.038696 | Confidence: 96.2043% | Dead ReLUs: 46/128
Overall Accuracy: 92.17%
